date,dwt_oil_tankers
1980-01,28162.166666666668
1980-02,28162.166666666668
1980-03,28162.166666666668
1980-04,28162.166666666668
1980-05,28162.166666666668
1980-06,28162.166666666668
1980-07,28162.166666666668
1980-08,28162.166666666668
1980-09,28162.166666666668
1980-10,28162.166666666668
1980-11,28162.166666666668
1980-12,28162.166666666668
1981-01,28222.166666666668
1981-02,28222.166666666668
1981-03,28222.166666666668
1981-04,28222.166666666668
1981-05,28222.166666666668
1981-06,28222.166666666668
1981-07,28222.166666666668
1981-08,28222.166666666668
1981-09,28222.166666666668
1981-10,28222.166666666668
1981-11,28222.166666666668
1981-12,28222.166666666668
1982-01,27855.333333333332
1982-02,27855.333333333332
1982-03,27855.333333333332
1982-04,27855.333333333332
1982-05,27855.333333333332
1982-06,27855.333333333332
1982-07,27855.333333333332
1982-08,27855.333333333332
1982-09,27855.333333333332
1982-10,27855.333333333332
1982-11,27855.333333333332
1982-12,27855.333333333332
1983-01,26972.75
1983-02,26972.75
1983-03,26972.75
1983-04,26972.75
1983-05,26972.75
1983-06,26972.75
1983-07,26972.75
1983-08,26972.75
1983-09,26972.75
1983-10,26972.75
1983-11,26972.75
1983-12,26972.75
1984-01,25374.333333333332
1984-02,25374.333333333332
1984-03,25374.333333333332
1984-04,25374.333333333332
1984-05,25374.333333333332
1984-06,25374.333333333332
1984-07,25374.333333333332
1984-08,25374.333333333332
1984-09,25374.333333333332
1984-10,25374.333333333332
1984-11,25374.333333333332
1984-12,25374.333333333332
1985-01,23745.916666666668
1985-02,23745.916666666668
1985-03,23745.916666666668
1985-04,23745.916666666668
1985-05,23745.916666666668
1985-06,23745.916666666668
1985-07,23745.916666666668
1985-08,23745.916666666668
1985-09,23745.916666666668
1985-10,23745.916666666668
1985-11,23745.916666666668
1985-12,23745.916666666668
1986-01,21578.083333333332
1986-02,21578.083333333332
1986-03,21578.083333333332
1986-04,21578.083333333332
1986-05,21578.083333333332
1986-06,21578.083333333332
1986-07,21578.083333333332
1986-08,21578.083333333332
1986-09,21578.083333333332
1986-10,21578.083333333332
1986-11,21578.083333333332
1986-12,21578.083333333332
1987-01,19845.416666666668
1987-02,19845.416666666668
1987-03,19845.416666666668
1987-04,19845.416666666668
1987-05,19845.416666666668
1987-06,19845.416666666668
1987-07,19845.416666666668
1987-08,19845.416666666668
1987-09,19845.416666666668
1987-10,19845.416666666668
1987-11,19845.416666666668
1987-12,19845.416666666668
1988-01,19575.666666666668
1988-02,19575.666666666668
1988-03,19575.666666666668
1988-04,19575.666666666668
1988-05,19575.666666666668
1988-06,19575.666666666668
1988-07,19575.666666666668
1988-08,19575.666666666668
1988-09,19575.666666666668
1988-10,19575.666666666668
1988-11,19575.666666666668
1988-12,19575.666666666668
1989-01,19467.416666666668
1989-02,19467.416666666668
1989-03,19467.416666666668
1989-04,19467.416666666668
1989-05,19467.416666666668
1989-06,19467.416666666668
1989-07,19467.416666666668
1989-08,19467.416666666668
1989-09,19467.416666666668
1989-10,19467.416666666668
1989-11,19467.416666666668
1989-12,19467.416666666668
1990-01,19648.75
1990-02,19648.75
1990-03,19648.75
1990-04,19648.75
1990-05,19648.75
1990-06,19648.75
1990-07,19648.75
1990-08,19648.75
1990-09,19648.75
1990-10,19648.75
1990-11,19648.75
1990-12,19648.75
1991-01,20401.5
1991-02,20401.5
1991-03,20401.5
1991-04,20401.5
1991-05,20401.5
1991-06,20401.5
1991-07,20401.5
1991-08,20401.5
1991-09,20401.5
1991-10,20401.5
1991-11,20401.5
1991-12,20401.5
1992-01,21304.75
1992-02,21304.75
1992-03,21304.75
1992-04,21304.75
1992-05,21304.75
1992-06,21304.75
1992-07,21304.75
1992-08,21304.75
1992-09,21304.75
1992-10,21304.75
1992-11,21304.75
1992-12,21304.75
1993-01,21756.833333333332
1993-02,21756.833333333332
1993-03,21756.833333333332
1993-04,21756.833333333332
1993-05,21756.833333333332
1993-06,21756.833333333332
1993-07,21756.833333333332
1993-08,21756.833333333332
1993-09,21756.833333333332
1993-10,21756.833333333332
1993-11,21756.833333333332
1993-12,21756.833333333332
1994-01,22440.75
1994-02,22440.75
1994-03,22440.75
1994-04,22440.75
1994-05,22440.75
1994-06,22440.75
1994-07,22440.75
1994-08,22440.75
1994-09,22440.75
1994-10,22440.75
1994-11,22440.75
1994-12,22440.75
1995-01,22578.5
1995-02,22578.5
1995-03,22578.5
1995-04,22578.5
1995-05,22578.5
1995-06,22578.5
1995-07,22578.5
1995-08,22578.5
1995-09,22578.5
1995-10,22578.5
1995-11,22578.5
1995-12,22578.5
1996-01,22225.666666666668
1996-02,22225.666666666668
1996-03,22225.666666666668
1996-04,22225.666666666668
1996-05,22225.666666666668
1996-06,22225.666666666668
1996-07,22225.666666666668
1996-08,22225.666666666668
1996-09,22225.666666666668
1996-10,22225.666666666668
1996-11,22225.666666666668
1996-12,22225.666666666668
1997-01,22574.916666666668
1997-02,22574.916666666668
1997-03,22574.916666666668
1997-04,22574.916666666668
1997-05,22574.916666666668
1997-06,22574.916666666668
1997-07,22574.916666666668
1997-08,22574.916666666668
1997-09,22574.916666666668
1997-10,22574.916666666668
1997-11,22574.916666666668
1997-12,22574.916666666668
1998-01,22636.083333333332
1998-02,22636.083333333332
1998-03,22636.083333333332
1998-04,22636.083333333332
1998-05,22636.083333333332
1998-06,22636.083333333332
1998-07,22636.083333333332
1998-08,22636.083333333332
1998-09,22636.083333333332
1998-10,22636.083333333332
1998-11,22636.083333333332
1998-12,22636.083333333332
1999-01,23356.416666666668
1999-02,23356.416666666668
1999-03,23356.416666666668
1999-04,23356.416666666668
1999-05,23356.416666666668
1999-06,23356.416666666668
1999-07,23356.416666666668
1999-08,23356.416666666668
1999-09,23356.416666666668
1999-10,23356.416666666668
1999-11,23356.416666666668
1999-12,23356.416666666668
2000-01,23588.833333333332
2000-02,23588.833333333332
2000-03,23588.833333333332
2000-04,23588.833333333332
2000-05,23588.833333333332
2000-06,23588.833333333332
2000-07,23588.833333333332
2000-08,23588.833333333332
2000-09,23588.833333333332
2000-10,23588.833333333332
2000-11,23588.833333333332
2000-12,23588.833333333332
2001-01,23738.666666666668
2001-02,23738.666666666668
2001-03,23738.666666666668
2001-04,23738.666666666668
2001-05,23738.666666666668
2001-06,23738.666666666668
2001-07,23738.666666666668
2001-08,23738.666666666668
2001-09,23738.666666666668
2001-10,23738.666666666668
2001-11,23738.666666666668
2001-12,23738.666666666668
2002-01,23833.416666666668
2002-02,23833.416666666668
2002-03,23833.416666666668
2002-04,23833.416666666668
2002-05,23833.416666666668
2002-06,23833.416666666668
2002-07,23833.416666666668
2002-08,23833.416666666668
2002-09,23833.416666666668
2002-10,23833.416666666668
2002-11,23833.416666666668
2002-12,23833.416666666668
2003-01,25723.583333333332
2003-02,25723.583333333332
2003-03,25723.583333333332
2003-04,25723.583333333332
2003-05,25723.583333333332
2003-06,25723.583333333332
2003-07,25723.583333333332
2003-08,25723.583333333332
2003-09,25723.583333333332
2003-10,25723.583333333332
2003-11,25723.583333333332
2003-12,25723.583333333332
2004-01,26721.5
2004-02,26721.5
2004-03,26721.5
2004-04,26721.5
2004-05,26721.5
2004-06,26721.5
2004-07,26721.5
2004-08,26721.5
2004-09,26721.5
2004-10,26721.5
2004-11,26721.5
2004-12,26721.5
2005-01,28395.666666666668
2005-02,28395.666666666668
2005-03,28395.666666666668
2005-04,28395.666666666668
2005-05,28395.666666666668
2005-06,28395.666666666668
2005-07,28395.666666666668
