Time,GSCPI
2006-03-31,-0.3793876
2006-04-30,0.1064279
2006-05-31,0.10759
2006-06-30,0.1641678
2006-07-31,-0.0915139
2006-08-31,0.0687843
2006-09-30,-0.6364694
2006-10-31,-0.5160333
2006-11-30,-0.2305653
2006-12-31,-0.4597365
2007-01-31,-0.8731989
2007-02-28,-0.7128772
2007-03-31,-0.5887361
2007-04-30,-0.8258029
2007-05-31,-0.4146469
2007-06-30,-0.3734096
2007-07-31,-0.4345947
2007-08-31,-0.0988241
2007-09-30,-0.0338739
2007-10-31,-0.6067162
2007-11-30,-0.4814834
2007-12-31,-0.1441386
2008-01-31,-0.3696812
2008-02-29,0.4654366
2008-03-31,0.1568814
2008-04-30,0.1322736
2008-05-31,-0.1173209
2008-06-30,0.2753534
2008-07-31,1.00783
2008-08-31,0.2777932
2008-09-30,-0.5388972
2008-10-31,-0.9850981
2008-11-30,-1.5309443
2008-12-31,-0.6973805
2009-01-31,-0.4049169
2009-02-28,-0.4433675
2009-03-31,0.1861461
2009-04-30,0.8488707
2009-05-31,0.3393688
2009-06-30,-0.5045211
2009-07-31,-0.7406302
2009-08-31,-1.1280262
2009-09-30,-0.4905929
2009-10-31,-0.4551528
2009-11-30,-0.7918203
2009-12-31,-0.6136524
2010-01-31,-0.321679
2010-02-28,-0.1547602
2010-03-31,0.3655432
2010-04-30,0.2966998
2010-05-31,0.4363112
2010-06-30,-0.0317738
2010-07-31,-0.0385035
2010-08-31,0.30964
2010-09-30,0.3745296
2010-10-31,0.6797057
2010-11-30,0.4515135
2010-12-31,0.7018005
2011-01-31,0.772243
2011-02-28,0.3675161
2011-03-31,0.743251
2011-04-30,1.6286359
2011-05-31,0.9431653
2011-06-30,0.2000352
2011-07-31,0.2887488
2011-08-31,-0.1008619
2011-09-30,-0.5525559
2011-10-31,-0.3766194
2011-11-30,0.1412273
2011-12-31,-0.0399248
2012-01-31,0.3866243
2012-02-29,0.0111659
2012-03-31,-0.366522
2012-04-30,-0.3246775
2012-05-31,-0.6724994
2012-06-30,-0.7036102
2012-07-31,-0.6864731
2012-08-31,-0.1359553
2012-09-30,-0.261078
2012-10-31,-0.005535
2012-11-30,-0.3533038
2012-12-31,-0.1506528
2013-01-31,-0.0500656
2013-02-28,-0.3764825
2013-03-31,-0.5429472
2013-04-30,-0.7332043
2013-05-31,-0.8670969
2013-06-30,-0.6693629
2013-07-31,-0.6569482
2013-08-31,-0.5695971
2013-09-30,-0.2846752
2013-10-31,-0.1867587
2013-11-30,-0.6964574
2013-12-31,-0.4987097
2014-01-31,-0.6386336
2014-02-28,-0.2846926
2014-03-31,-0.625411
2014-04-30,-0.8242955
2014-05-31,-0.8355352
2014-06-30,-0.6979233
2014-07-31,-0.8248778
2014-08-31,-0.6303013
2014-09-30,-0.8215297
2014-10-31,-0.598197
2014-11-30,-0.9796373
2014-12-31,-0.4003464
2015-01-31,-0.5137671
2015-02-28,-0.3258834
2015-03-31,-0.3905273
2015-04-30,-0.359148
2015-05-31,-0.5550276
2015-06-30,-0.8749764
2015-07-31,-0.4177819
2015-08-31,-0.6895124
2015-09-30,-0.4020381
2015-10-31,-0.2461555
2015-11-30,-0.6491009
2015-12-31,-0.6077492
2016-01-31,-0.8041596
2016-02-29,-0.7576905
2016-03-31,-0.6597366
2016-04-30,-0.2768878
2016-05-31,-0.7166829
2016-06-30,-0.291395
2016-07-31,-0.1734125
2016-08-31,0.0889118
2016-09-30,-0.2969691
2016-10-31,-0.0607275
2016-11-30,-0.3143125
2016-12-31,-0.2256124
2017-01-31,0.1664428
2017-02-28,0.1489684
2017-03-31,0.0776758
2017-04-30,0.011783
2017-05-31,-0.1445764
2017-06-30,0.0877964
2017-07-31,0.0924187
2017-08-31,0.3932948
2017-09-30,0.5548202
2017-10-31,0.7957669
2017-11-30,0.8140002
2017-12-31,0.6881593
2018-01-31,0.5912732
2018-02-28,0.0620688
2018-03-31,0.4385318
2018-04-30,0.5190248
2018-05-31,0.3798227
2018-06-30,0.4346908
2018-07-31,0.4449763
2018-08-31,0.5344545
2018-09-30,0.4684274
2018-10-31,0.5335076
2018-11-30,0.4568577
2018-12-31,0.4660185
2019-01-31,0.5167078
2019-02-28,0.1448923
2019-03-31,0.2143621
2019-04-30,0.0161469
2019-05-31,-0.6237913
2019-06-30,-0.4701031
2019-07-31,-0.4505407
2019-08-31,-0.2903039
2019-09-30,0.1322317
2019-10-31,0.0895974
2019-11-30,0.1519526
2019-12-31,0.0418171
2020-01-31,0.0595206
2020-02-29,1.3050936
2020-03-31,2.6729169
2020-04-30,3.3871527
2020-05-31,2.5736184
2020-06-30,2.2672188
2020-07-31,2.9752581
2020-08-31,1.489918
2020-09-30,0.6293292
2020-10-31,0.1132479
2020-11-30,0.7811731
2020-12-31,1.7208424
2021-01-31,1.3728204
2021-02-28,2.0040891
2021-03-31,2.3324459
2021-04-30,2.823524
2021-05-31,3.1056271
2021-06-30,2.8302219
2021-07-31,3.0101411
2021-08-31,3.3856254
2021-09-30,3.4570158
2021-10-31,4.00418
2021-11-30,4.4101038
2021-12-31,4.4879527
2022-01-31,3.7752051
2022-02-28,2.8502605
2022-03-31,2.9031081
2022-04-30,3.5995865
2022-05-31,2.8010149
2022-06-30,2.466161
2022-07-31,1.865513
2022-08-31,1.5428728
2022-09-30,1.0455337
2022-10-31,1.1500701
2022-11-30,1.2781492
2022-12-31,1.348455
2023-01-31,1.087798
2023-02-28,-0.2254747
2023-03-31,-1.1674241
2023-04-30,-1.3116601
2023-05-31,-1.5902095
2023-06-30,-1.1187358
2023-07-31,-0.9469449
2023-08-31,-1.0776733
2023-09-30,-0.6594858
2023-10-31,-0.3747982
2023-11-30,0.165567
2023-12-31,-0.1626668
2024-01-31,-0.3408705
2024-02-29,-0.1916075
2024-03-31,-0.3531037
2024-04-30,-0.9594031
2024-05-31,-0.5840523
2024-06-30,-0.3512477
2024-07-31,-0.044467
2024-08-31,0.2122464
2024-09-30,0.1058789
2024-10-31,-0.348672
2024-11-30,-0.2815426
2024-12-31,-0.2629313
2025-01-31,-0.1782178
2025-02-28,0.0004618
2025-03-31,-0.181833
2025-04-30,-0.2440077
2025-05-31,0.277936
2025-06-30,0.0850794
2025-07-31,0.0222217
2025-08-31,-0.0850371
2025-09-30,-0.0229916
2025-10-31,-0.0821951
2025-11-30,-0.1566948
2025-12-31,0.543814
2026-01-31,0.4157784
2026-02-28,0.49359
