date,US_ISM
1999-12,56.7
2000-01,55.8
2000-02,54.9
2000-03,54.7
2000-04,53.2
2000-05,51.4
2000-06,52.5
2000-07,49.9
2000-08,49.7
2000-09,48.7
2000-10,48.5
2000-11,43.9
2000-12,42.3
2001-01,42.1
2001-02,43.1
2001-03,42.7
2001-04,41.3
2001-05,43.2
2001-06,43.5
2001-07,46.3
2001-08,46.2
2001-09,40.8
2001-10,44.1
2001-11,45.3
2001-12,47.5
2002-01,50.7
2002-02,52.4
2002-03,52.4
2002-04,53.1
2002-05,53.6
2002-06,50.2
2002-07,50.3
2002-08,50.5
2002-09,49.0
2002-10,48.5
2002-11,51.6
2002-12,51.3
2003-01,48.8
2003-02,46.3
2003-03,46.1
2003-04,49.0
2003-05,49.0
2003-06,51.0
2003-07,53.2
2003-08,52.4
2003-09,55.2
2003-10,58.4
2003-11,60.1
2003-12,60.8
2004-01,59.9
2004-02,60.6
2004-03,60.6
2004-04,61.4
2004-05,60.5
2004-06,59.9
2004-07,58.5
2004-08,57.4
2004-09,56.3
2004-10,56.2
2004-11,57.2
2004-12,56.8
2005-01,55.5
2005-02,55.2
2005-03,52.2
2005-04,50.8
2005-05,52.4
2005-06,52.8
2005-07,52.4
2005-08,56.8
2005-09,57.2
2005-10,56.7
2005-11,55.1
2005-12,55.0
2006-01,55.8
2006-02,54.3
2006-03,55.2
2006-04,53.7
2006-05,52.0
2006-06,53.0
2006-07,53.7
2006-08,52.2
2006-09,51.4
2006-10,50.3
2006-11,51.4
2006-12,49.5
2007-01,51.9
2007-02,50.7
2007-03,52.6
2007-04,52.5
2007-05,52.6
2007-06,52.4
2007-07,50.9
2007-08,51.0
2007-09,51.1
2007-10,50.5
2007-11,49.0
2007-12,50.3
2008-01,47.6
2008-02,48.3
2008-03,48.8
2008-04,48.8
2008-05,49.8
2008-06,50.0
2008-07,49.2
2008-08,44.8
2008-09,38.9
2008-10,36.5
2008-11,33.1
2008-12,34.9
2009-01,35.5
2009-02,36.0
2009-03,39.5
2009-04,41.7
2009-05,45.8
2009-06,49.9
2009-07,53.5
2009-08,54.4
2009-09,56.0
2009-10,54.4
2009-11,55.3
2009-12,57.2
2010-01,55.8
2010-02,58.8
2010-03,58.1
2010-04,58.3
2010-05,56.4
2010-06,56.4
2010-07,58.0
2010-08,56.3
2010-09,57.7
2010-10,57.6
2010-11,57.5
2010-12,59.0
2011-01,59.3
2011-02,59.1
2011-03,58.9
2011-04,53.7
2011-05,56.6
2011-06,52.9
2011-07,53.0
2011-08,52.8
2011-09,51.8
2011-10,52.1
2011-11,53.1
2011-12,52.8
2012-01,52.4
2012-02,53.0
2012-03,53.7
2012-04,53.2
2012-05,51.0
2012-06,50.6
2012-07,51.1
2012-08,52.2
2012-09,51.2
2012-10,49.5
2012-11,50.4
2012-12,52.3
2013-01,53.1
2013-02,51.5
2013-03,50.0
2013-04,50.0
2013-05,52.5
2013-06,54.9
2013-07,56.3
2013-08,56.0
2013-09,56.6
2013-10,57.0
2013-11,56.5
2013-12,51.3
2014-01,53.2
2014-02,53.7
2014-03,54.9
2014-04,55.4
2014-05,55.3
2014-06,57.1
2014-07,59.0
2014-08,56.6
2014-09,59.0
2014-10,58.7
2014-11,55.1
2014-12,53.5
2015-01,52.9
2015-02,51.5
2015-03,51.5
2015-04,52.8
2015-05,53.5
2015-06,52.7
2015-07,51.1
2015-08,50.2
2015-09,50.1
2015-10,48.6
2015-11,48.0
2015-12,48.2
2016-01,49.5
2016-02,51.8
2016-03,50.8
2016-04,51.3
2016-05,53.2
2016-06,52.6
2016-07,49.4
2016-08,51.5
2016-09,51.9
2016-10,53.2
2016-11,54.5
2016-12,56.0
2017-01,57.7
2017-02,57.2
2017-03,54.8
2017-04,54.9
2017-05,57.8
2017-06,56.3
2017-07,58.8
2017-08,60.8
2017-09,58.7
2017-10,58.2
2017-11,59.3
2017-12,59.1
2018-01,60.8
2018-02,59.3
2018-03,57.3
2018-04,58.7
2018-05,60.2
2018-06,58.1
2018-07,61.3
2018-08,59.8
2018-09,57.7
2018-10,59.3
2018-11,54.3
2018-12,56.6
2019-01,54.2
2019-02,55.3
2019-03,52.8
2019-04,52.1
2019-05,51.7
2019-06,51.2
2019-07,49.1
2019-08,47.8
2019-09,48.3
2019-10,48.1
2019-11,47.2
2019-12,50.9
2020-01,50.1
2020-02,49.1
2020-03,41.5
2020-04,43.1
2020-05,52.6
2020-06,54.2
2020-07,56.0
2020-08,55.4
2020-09,59.3
2020-10,57.5
2020-11,60.7
2020-12,58.7
2021-01,60.8
2021-02,64.7
2021-03,60.7
2021-04,61.2
2021-05,60.6
2021-06,59.5
2021-07,59.9
2021-08,61.1
2021-09,60.8
2021-10,61.1
2021-11,58.7
2021-12,57.6
2022-01,58.6
2022-02,57.1
2022-03,55.4
2022-04,56.1
2022-05,53.0
2022-06,52.8
2022-07,52.8
2022-08,50.9
2022-09,50.2
2022-10,49.0
2022-11,48.4
2022-12,47.4
2023-01,47.7
2023-02,46.5
2023-03,47.0
2023-04,46.6
2023-05,46.4
2023-06,46.5
2023-07,47.6
2023-08,48.6
2023-09,46.9
2023-10,46.6
2023-11,47.1
2023-12,49.1
2024-01,47.8
2024-02,50.3
2024-03,49.2
