date,RSXFS
1992-01,142419
1992-02,142584
1992-03,142120
1992-04,143659
1992-05,144239
1992-06,145273
1992-07,146743
1992-08,146070
1992-09,147932
1992-10,149346
1992-11,149131
1992-12,150578
1993-01,152329
1993-02,151742
1993-03,150525
1993-04,154720
1993-05,155537
1993-06,155353
1993-07,158267
1993-08,157425
1993-09,158535
1993-10,159773
1993-11,162004
1993-12,163258
1994-01,162369
1994-02,165075
1994-03,168330
1994-04,168262
1994-05,167412
1994-06,169337
1994-07,169514
1994-08,172332
1994-09,174018
1994-10,175309
1994-11,175761
1994-12,176168
1995-01,177136
1995-02,174560
1995-03,176376
1995-04,176353
1995-05,179020
1995-06,181382
1995-07,180019
1995-08,181787
1995-09,182074
1995-10,181411
1995-11,184327
1995-12,184841
1996-01,184636
1996-02,187576
1996-03,188237
1996-04,189778
1996-05,191544
1996-06,189960
1996-07,191113
1996-08,191139
1996-09,193303
1996-10,195420
1996-11,194860
1996-12,195318
1997-01,197447
1997-02,198891
1997-03,200352
1997-04,197212
1997-05,196937
1997-06,199311
1997-07,201751
1997-08,201892
1997-09,202992
1997-10,203055
1997-11,202778
1997-12,203837
1998-01,204505
1998-02,204207
1998-03,205311
1998-04,208683
1998-05,209165
1998-06,211222
1998-07,209658
1998-08,207737
1998-09,210112
1998-10,213794
1998-11,215194
1998-12,217396
1999-01,217930
1999-02,220769
1999-03,222199
1999-04,223837
1999-05,225577
1999-06,226474
1999-07,228424
1999-08,230902
1999-09,231912
1999-10,231254
1999-11,234425
1999-12,239589
2000-01,237541
2000-02,241541
2000-03,244533
2000-04,239552
2000-05,241546
2000-06,243226
2000-07,240979
2000-08,242318
2000-09,245520
2000-10,245399
2000-11,243846
2000-12,243844
2001-01,247339
2001-02,247289
2001-03,244514
2001-04,249113
2001-05,250250
2001-06,248836
2001-07,247336
2001-08,249590
2001-09,243130
2001-10,262862
2001-11,254084
2001-12,249879
2002-01,250603
2002-02,252279
2002-03,251542
2002-04,254543
2002-05,252390
2002-06,253652
2002-07,257339
2002-08,259050
2002-09,254081
2002-10,256131
2002-11,256350
2002-12,259206
2003-01,261394
2003-02,257531
2003-03,260566
2003-04,261375
2003-05,261392
2003-06,265331
2003-07,267683
2003-08,270612
2003-09,270212
2003-10,269060
2003-11,270161
2003-12,271550
2004-01,272465
2004-02,274360
2004-03,279692
2004-04,277625
2004-05,281281
2004-06,279141
2004-07,281350
2004-08,281006
2004-09,286866
2004-10,287700
2004-11,289679
2004-12,293401
2005-01,290111
2005-02,293710
2005-03,294743
2005-04,297153
2005-05,295314
2005-06,305083
2005-07,307320
2005-08,303216
2005-09,304187
2005-10,303989
2005-11,306566
2005-12,306723
2006-01,315566
2006-02,313440
2006-03,314471
