date,BDI
2000-01,1319.0
2000-02,1531.0
2000-03,1660.0
2000-04,1628.0
2000-05,1566.0
2000-06,1616.0
2000-07,1642.0
2000-08,1652.0
2000-09,1739.0
2000-10,1759.0
2000-11,1672.0
2000-12,1599.0
2001-01,1504.0
2001-02,1537.0
2001-03,1438.0
2001-04,1459.0
2001-05,1389.0
2001-06,1386.0
2001-07,1049.0
2001-08,927.0
2001-09,952.0
2001-10,861.0
2001-11,868.0
2001-12,876.0
2002-01,908.0
2002-02,1031.0
2002-03,1082.0
2002-04,1027.0
2002-05,1042.0
2002-06,1005.0
2002-07,968.0
2002-08,1036.0
2002-09,1367.0
2002-10,1417.0
2002-11,1560.0
2002-12,1738.0
2003-01,1530.0
2003-02,1764.0
2003-03,1939.0
2003-04,2142.0
2003-05,2127.0
2003-06,2125.0
2003-07,2181.0
2003-08,2265.0
2003-09,2993.0
2003-10,4555.0
2003-11,4417.0
2003-12,4765.0
2004-01,5551.0
2004-02,5263.0
2004-03,4822.0
2004-04,3982.0
2004-05,3286.0
2004-06,3005.0
2004-07,4048.0
2004-08,4186.0
2004-09,4105.0
2004-10,4922.0
2004-11,6051.0
2004-12,4598.0
2005-01,4488.0
2005-02,4726.0
2005-03,4637.0
2005-04,3850.0
2005-05,3219.0
2005-06,2521.0
2005-07,1804.0
2005-08,2592.0
2005-09,2907.0
2005-10,3113.0
2005-11,2770.0
2005-12,2407.0
2006-01,2081.0
2006-02,2680.0
2006-03,2496.0
2006-04,2368.0
2006-05,2436.0
2006-06,2964.0
2006-07,3285.0
2006-08,3847.0
2006-09,3944.0
2006-10,4037.0
2006-11,4336.0
2006-12,4397.0
2007-01,4225.0
2007-02,4765.0
2007-03,5388.0
2007-04,6248.0
2007-05,5971.0
2007-06,6278.0
2007-07,6967.0
2007-08,7702.0
2007-09,9474.0
2007-10,10656.0
2007-11,10210.0
2007-12,9143.0
2008-01,6052.0
2008-02,7613.0
2008-03,8081.0
2008-04,9356.0
2008-05,11440.0
2008-06,9589.0
2008-07,8341.0
2008-08,6809.0
2008-09,3217.0
2008-10,851.0
2008-11,715.0
2008-12,774.0
2009-01,1070.0
2009-02,1986.0
2009-03,1615.0
2009-04,1786.0
2009-05,3494.0
2009-06,3757.0
2009-07,3350.0
2009-08,2421.0
2009-09,2220.0
2009-10,3103.0
2009-11,3887.0
2009-12,3005.0
2010-01,2848.0
2010-02,2738.0
2010-03,2998.0
2010-04,3354.0
2010-05,4078.0
2010-06,2406.0
2010-07,1967.0
2010-08,2713.0
2010-09,2446.0
2010-10,2678.0
2010-11,2099.0
2010-12,1773.0
2011-01,1107.0
2011-02,1251.0
2011-03,1530.0
2011-04,1269.0
2011-05,1480.0
2011-06,1413.0
2011-07,1264.0
2011-08,1619.0
2011-09,1899.0
2011-10,1965.0
2011-11,1846.0
2011-12,1738.0
2012-01,680.0
2012-02,750.0
2012-03,934.0
2012-04,1155.0
2012-05,923.0
2012-06,1004.0
2012-07,897.0
2012-08,703.0
2012-09,766.0
2012-10,1026.0
2012-11,1086.0
2012-12,699.0
2013-01,760.0
2013-02,757.0
2013-03,910.0
2013-04,863.0
2013-05,809.0
2013-06,1171.0
2013-07,1062.0
2013-08,1132.0
2013-09,2003.0
2013-10,1504.0
2013-11,1821.0
2013-12,2277.0
2014-01,1110.0
2014-02,1258.0
2014-03,1362.0
2014-04,943.0
2014-05,934.0
2014-06,850.0
2014-07,755.0
2014-08,1147.0
2014-09,1063.0
2014-10,1428.0
2014-11,1153.0
2014-12,782.0
2015-01,608.0
2015-02,540.0
2015-03,602.0
2015-04,591.0
2015-05,589.0
2015-06,800.0
2015-07,1131.0
2015-08,903.0
2015-09,900.0
2015-10,721.0
2015-11,584.0
2015-12,478.0
2016-01,317.0
2016-02,329.0
2016-03,429.0
2016-04,703.0
2016-05,612.0
2016-06,660.0
2016-07,656.0
2016-08,711.0
2016-09,875.0
2016-10,857.0
2016-11,1204.0
2016-12,961.0
2017-01,800.0
2017-02,859.0
2017-03,1297.0
2017-04,1109.0
2017-05,878.0
2017-06,901.0
2017-07,946.0
2017-08,1184.0
2017-09,1356.0
2017-10,1522.0
2017-11,1578.0
