Date,iron_price
2026-03-24,106.1
2026-03-23,106.0
2026-03-20,105.89
2026-03-19,105.64
2026-03-18,105.54
2026-03-17,105.77
2026-03-16,105.34
2026-03-13,105.14
2026-03-12,104.72
2026-03-11,103.53
2026-03-10,103.22
2026-03-09,102.9
2026-03-06,101.91
2026-03-05,100.89
2026-03-04,100.06
2026-03-03,99.57
2026-03-02,99.81
2026-02-27,99.06
2026-02-26,99.03
2026-02-25,99.07
2026-02-24,99.15
2026-02-23,99.27
2026-02-20,99.33
2026-02-19,99.61
2026-02-18,99.74
2026-02-17,99.74
2026-02-13,99.66
2026-02-12,100.37
2026-02-11,100.59
2026-02-10,100.84
2026-02-09,100.63
2026-02-06,100.11
2026-02-05,101.03
2026-02-04,102.17
2026-02-03,102.16
2026-02-02,102.66
2026-01-30,105.62
2026-01-29,105.77
2026-01-28,105.85
2026-01-27,106.03
2026-01-26,106.15
2026-01-23,106.36
2026-01-22,106.42
2026-01-21,106.46
2026-01-20,106.54
2026-01-16,107.15
2026-01-15,107.39
2026-01-14,107.68
2026-01-13,107.9
2026-01-12,108.25
2026-01-09,108.03
2026-01-08,107.65
2026-01-07,108.48
2026-01-06,106.79
2026-01-05,106.13
2026-01-02,107.17
2025-12-31,107.13
2025-12-30,107.13
2025-12-29,107.08
2025-12-26,106.99
2025-12-24,106.94
2025-12-23,106.95
2025-12-22,106.94
2025-12-19,106.92
2025-12-18,106.9
2025-12-17,106.61
2025-12-16,106.36
2025-12-15,106.1
2025-12-12,106.05
2025-12-11,106.21
2025-12-10,106.66
2025-12-09,106.29
2025-12-08,106.42
2025-12-05,107.24
2025-12-04,107.88
2025-12-03,107.77
2025-12-02,107.35
2025-12-01,106.94
2025-11-28,104.84
2025-11-26,104.63
2025-11-25,104.51
2025-11-24,104.42
2025-11-21,104.26
2025-11-20,104.24
2025-11-19,104.26
2025-11-18,104.31
2025-11-17,104.42
2025-11-14,103.95
2025-11-13,104.05
2025-11-12,104.17
2025-11-11,103.56
2025-11-10,103.97
2025-11-07,103.34
2025-11-06,105.08
2025-11-05,104.73
2025-11-04,104.52
2025-11-03,105.84
2025-10-31,105.83
2025-10-30,105.73
2025-10-29,105.66
2025-10-28,105.56
2025-10-27,105.57
2025-10-24,105.41
2025-10-23,105.55
2025-10-22,105.55
2025-10-21,105.53
2025-10-20,105.5
2025-10-17,105.35
2025-10-16,105.56
2025-10-15,105.55
2025-10-14,105.25
2025-10-13,106.53
2025-10-10,105.74
2025-10-09,104.86
2025-10-08,104.29
2025-10-07,104.22
2025-10-06,104.48
2025-10-03,104.36
2025-10-02,104.1
2025-10-01,104.02
2025-09-30,105.29
2025-09-29,105.35
2025-09-26,105.44
2025-09-25,105.54
2025-09-24,105.54
2025-09-23,105.49
2025-09-22,105.49
2025-09-19,105.44
