Date,BDI
2011-01-05,1621.0
2011-01-06,1544.0
2011-01-07,1519.0
2011-01-10,1495.0
2011-01-11,1480.0
2011-01-12,1453.0
2011-01-13,1438.0
2011-01-14,1439.0
2011-01-17,1439.0
2011-01-18,1432.0
2011-01-19,1411.0
2011-01-20,1393.0
2011-01-21,1370.0
2011-01-24,1345.0
2011-01-25,1292.0
2011-01-26,1234.0
2011-01-27,1186.0
2011-01-28,1137.0
2011-01-31,1107.0
2011-02-01,1084.0
2011-02-02,1064.0
2011-02-03,1045.0
2011-02-04,1043.0
2011-02-07,1045.0
2011-02-08,1064.0
2011-02-09,1092.0
2011-02-10,1136.0
2011-02-11,1178.0
2011-02-14,1206.0
2011-02-15,1236.0
2011-02-16,1271.0
2011-02-17,1292.0
2011-02-18,1301.0
2011-02-21,1295.0
2011-02-22,1279.0
2011-02-23,1253.0
2011-02-24,1242.0
2011-02-25,1245.0
2011-02-28,1251.0
2011-03-01,1262.0
2011-03-02,1281.0
2011-03-03,1317.0
2011-03-04,1346.0
2011-03-07,1382.0
2011-03-08,1424.0
2011-03-09,1472.0
2011-03-10,1538.0
2011-03-11,1562.0
2011-03-14,1559.0
2011-03-15,1548.0
2011-03-16,1538.0
2011-03-17,1533.0
2011-03-18,1531.0
2011-03-21,1531.0
2011-03-22,1543.0
2011-03-23,1565.0
2011-03-24,1583.0
2011-03-25,1585.0
2011-03-28,1585.0
2011-03-29,1572.0
2011-03-30,1545.0
2011-03-31,1530.0
2011-04-01,1520.0
2011-04-04,1498.0
2011-04-05,1462.0
2011-04-06,1430.0
2011-04-07,1401.0
2011-04-08,1376.0
2011-04-11,1359.0
2011-04-12,1342.0
2011-04-13,1324.0
2011-04-14,1309.0
2011-04-15,1296.0
2011-04-18,1284.0
2011-04-19,1271.0
2011-04-20,1262.0
2011-04-21,1254.0
2011-04-26,1250.0
2011-04-27,1259.0
2011-04-28,1269.0
2011-05-03,1292.0
2011-05-04,1302.0
2011-05-05,1314.0
2011-05-06,1340.0
2011-05-09,1348.0
2011-05-11,1334.0
2011-05-12,1320.0
2011-05-13,1306.0
2011-05-16,1291.0
2011-05-17,1274.0
2011-05-18,1271.0
2011-05-19,1329.0
2011-05-20,1349.0
2011-05-23,1369.0
2011-05-24,1398.0
2011-05-25,1446.0
2011-05-26,1467.0
2011-05-27,1474.0
