Date,Brent_Crude_USD_per_bbl,Bunker_Oil_Index_2016_100
2000-M01,25.51,118.40
2000-M02,27.78,132.15
2000-M03,27.49,128.60
2000-M04,22.84,115.30
2000-M05,27.74,124.90
2000-M06,29.80,135.20
2000-M07,28.38,130.45
2000-M08,30.31,141.20
2000-M09,32.68,155.60
2000-M10,30.64,150.30
2000-M11,32.25,158.40
2000-M12,24.43,110.15
2001-M01,25.64,115.80
2001-M02,27.45,124.30
2001-M03,24.48,112.50
2001-M04,25.56,120.10
2001-M05,28.25,133.40
2001-M06,27.35,128.20
2001-M07,24.63,115.40
2001-M08,25.55,119.80
2001-M09,25.88,121.20
2001-M10,20.47,95.40
2001-M11,18.71,87.30
2001-M12,18.57,86.50
2002-M01,19.34,90.20
2002-M02,20.14,94.10
2002-M03,23.71,110.50
2002-M04,25.61,120.30
2002-M05,25.32,118.90
2002-M06,24.01,112.40
2002-M07,25.67,120.10
2002-M08,26.65,124.80
2002-M09,28.29,132.50
2002-M10,27.56,128.90
2002-M11,24.16,113.20
2002-M12,28.25,132.40
2003-M01,31.22,146.10
2003-M02,32.74,153.20
2003-M03,29.92,140.10
2003-M04,24.68,115.40
2003-M05,25.59,119.80
2003-M06,27.27,127.30
2003-M07,28.43,133.10
2003-M08,29.80,139.40
2003-M09,26.89,125.60
2003-M10,29.75,139.10
2003-M11,28.68,134.20
2003-M12,29.71,139.40
2004-M01,31.11,145.20
2004-M02,30.83,144.10
2004-M03,33.72,157.30
2004-M04,33.35,155.40
2004-M05,37.72,175.60
2004-M06,35.19,164.20
2004-M07,38.16,178.10
2004-M08,42.82,200.10
2004-M09,42.89,200.40
2004-M10,49.33,230.10
2004-M11,42.92,200.20
2004-M12,39.55,184.60
2005-M01,44.24,206.50
2005-M02,45.42,212.10
2005-M03,52.95,247.30
2005-M04,51.83,242.10
2005-M05,48.61,227.40
2005-M06,54.43,254.10
2005-M07,57.55,268.60
2005-M08,63.15,295.10
2005-M09,62.83,293.40
2005-M10,58.46,273.10
2005-M11,55.19,257.60
2005-M12,56.81,265.20
2006-M01,63.02,294.10
2006-M02,60.10,280.40
2006-M03,62.11,289.80
2006-M04,70.22,328.10
2006-M05,69.75,325.40
2006-M06,68.45,319.20
2006-M07,74.01,345.10
2006-M08,73.18,341.20
2006-M09,61.94,289.30
2006-M10,57.73,269.40
2006-M11,58.94,275.10
2006-M12,62.24,290.40
2007-M01,53.86,251.30
2007-M02,57.51,268.40
2007-M03,62.19,290.10
2007-M04,67.45,315.20
2007-M05,67.34,314.10
2007-M06,71.04,331.40
2007-M07,77.10,360.20
2007-M08,70.62,330.10
2007-M09,77.14,360.40
2007-M10,82.43,385.10
2007-M11,92.51,432.10
2007-M12,90.95,424.60
2008-M01,92.00,429.30
2008-M02,94.94,443.10
2008-M03,103.18,481.20
2008-M04,110.15,514.30
2008-M05,124.73,582.40
2008-M06,133.01,621.10
2008-M07,133.56,623.60
2008-M08,113.68,530.10
2008-M09,98.05,457.10
2008-M10,71.58,334.20
2008-M11,52.51,245.10
2008-M12,40.35,188.10
2009-M01,44.20,206.10
2009-M02,43.27,202.10
2009-M03,46.54,217.30
2009-M04,50.21,234.40
2009-M05,57.94,270.20
2009-M06,68.52,320.10
2009-M07,64.29,300.20
2009-M08,72.78,340.10
2009-M09,67.65,315.10
2009-M10,72.75,340.20
2009-M11,76.51,357.10
2009-M12,74.52,347.10
2010-M01,76.17,355.10
2010-M02,73.75,344.20
2010-M03,78.89,368.10
2010-M04,84.03,392.40
2010-M05,75.95,354.10
2010-M06,74.76,348.60
2010-M07,75.36,351.40
2010-M08,77.12,359.80
2010-M09,77.67,362.10
2010-M10,82.85,386.40
2010-M11,85.50,399.10
2010-M12,91.45,426.40
2011-M01,96.52,450.20
2011-M02,103.72,484.10
2011-M03,114.67,535.10
2011-M04,123.26,575.40
2011-M05,114.50,534.10
2011-M06,113.91,531.20
2011-M07,116.74,544.10
2011-M08,110.14,513.60
2011-M09,112.55,525.10
2011-M10,108.76,507.20
2011-M11,110.87,517.30
2011-M12,107.72,502.40
2012-M01,110.60,516.10
2012-M02,119.33,556.20
2012-M03,124.93,582.10
2012-M04,119.75,558.10
2012-M05,110.34,514.20
2012-M06,95.16,443.40
2012-M07,102.62,478.10
2012-M08,113.25,528.20
2012-M09,112.91,526.40
2012-M10,111.71,520.80
2012-M11,109.11,508.40
2012-M12,109.13,508.60
2013-M01,112.96,526.30
2013-M02,116.05,540.80
2013-M03,108.47,505.20
2013-M04,102.25,476.30
2013-M05,102.56,477.10
2013-M06,102.92,479.40
2013-M07,107.41,500.20
2013-M08,110.39,514.10
2013-M09,111.60,519.30
2013-M10,109.43,509.80
2013-M11,107.79,502.10
2013-M12,110.70,515.60
2014-M01,108.12,503.40
2014-M02,108.84,506.70
2014-M03,107.48,500.10
2014-M04,107.76,501.20
2014-M05,109.24,508.30
2014-M06,111.80,520.40
2014-M07,106.77,497.10
2014-M08,101.61,473.20
2014-M09,97.09,452.10
2014-M10,87.27,406.30
2014-M11,79.44,369.80
2014-M12,62.34,290.10
2015-M01,47.76,222.40
2015-M02,58.10,270.50
2015-M03,55.89,260.10
2015-M04,59.39,276.30
2015-M05,64.08,298.40
2015-M06,61.48,286.20
2015-M07,56.56,263.10
2015-M08,46.52,216.40
